Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_001_Login,Chrome 125.0.0.0,,,31-05-2024 01:33:55,31-05-2024 01:34:53,57.505s,FAILED
,,,,,,,
Test Cases/Register/TC_001_Register New User,Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:34:12,16.771s,FAILED
firstName = FakerUtils.getFirstName(),Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:33:56,0.262s,PASSED
lastName = FakerUtils.getLastName(),Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:33:56,0.003s,PASSED
addressStreet = FakerUtils.getAddressStreet(),Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:33:56,0.029s,PASSED
addressCity = FakerUtils.getAddressCity(),Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:33:56,0.003s,PASSED
addressState = FakerUtils.getAddressState(),Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:33:56,0.002s,PASSED
addressZip = FakerUtils.getAddressZipCode(),Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:33:56,0.001s,PASSED
phoneNumber = FakerUtils.getPhone(),Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:33:56,0.014s,PASSED
ssnValid = FakerUtils.getSSNValid(),Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:33:56,0.025s,PASSED
usernameAccount = FakerUtils.getUsername(),Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:33:56,0.011s,PASSED
passwordAccount = FakerUtils.getPassword(),Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:33:56,0.015s,PASSED
openBrowser(url),Chrome 125.0.0.0,,,31-05-2024 01:33:56,31-05-2024 01:34:02,5.702s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,31-05-2024 01:34:02,31-05-2024 01:34:02,0.070s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_ParaBank-Welcome/p_Experience the difference""), 1)",Chrome 125.0.0.0,,,31-05-2024 01:34:02,31-05-2024 01:34:02,0.371s,PASSED
"click(findTestObject(""Object Repository/Page_ParaBank-Welcome/a_Register""))",Chrome 125.0.0.0,,,31-05-2024 01:34:02,31-05-2024 01:34:04,1.202s,PASSED
